year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2017,Newfoundland and Labrador,0,0,0,0,5,0,NA,0,0,0,NA,0,5
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,0,0,0,NA,5,0,0,NA,NA,0,0,0,15
2017,New Brunswick,NA,0,5,15,0,NA,NA,0,0,NA,0,NA,25
2017,Quebec,485,660,840,550,335,345,375,395,330,380,350,515,5560
2017,Ontario,645,635,700,685,680,585,620,725,735,690,510,725,7935
2017,Manitoba,20,150,180,165,125,70,95,85,75,75,45,20,1100
2017,Saskatchewan,0,0,NA,10,NA,NA,0,0,0,NA,5,0,20
2017,Alberta,20,25,25,25,15,30,30,25,45,15,10,30,300
2017,British Columbia,35,35,55,50,40,30,50,55,70,45,50,50,560
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
2017,Total - Ports of Entry,1210,1500,1815,1500,1205,1065,1175,1290,1255,1205,970,1340,15525
2018,Newfoundland and Labrador,0,0,0,0,0,NA,0,NA,NA,0,0,0,5
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,0,0,5,0,NA,0,NA,5,NA,NA,NA,0,25
2018,New Brunswick,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,10
2018,Quebec,355,365,1855,2680,2110,1465,1825,1970,1855,1645,1390,1620,19135
2018,Ontario,660,480,465,575,610,590,615,690,725,620,575,590,7195
2018,Manitoba,15,30,55,50,40,35,55,40,45,25,20,20,435
2018,Saskatchewan,5,0,0,0,0,0,0,0,0,NA,0,0,5
2018,Alberta,15,30,30,20,25,30,40,40,35,45,30,20,355
2018,British Columbia,60,35,40,30,30,20,35,30,50,35,35,50,445
2018,Yukon,0,0,0,0,0,0,0,NA,0,0,0,0,NA
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - Ports of Entry,1110,935,2455,3360,2815,2145,2570,2780,2715,2370,2055,2295,27610
2019,Newfoundland and Labrador,0,0,0,0,NA,NA,0,0,0,NA,0,0,5
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,0,0,0,0,0,NA,0,NA,NA,0,0,0,5
2019,New Brunswick,NA,0,NA,0,0,0,NA,0,0,NA,0,0,5
2019,Quebec,1145,1040,1225,1445,1525,1895,2310,2170,2195,2060,1490,1975,20475
2019,Ontario,450,450,560,490,560,520,590,590,760,685,690,660,7000
2019,Manitoba,NA,5,15,20,30,35,30,30,25,20,15,NA,230
2019,Saskatchewan,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,5
2019,Alberta,30,5,10,25,15,25,45,40,40,30,25,20,315
2019,British Columbia,30,25,55,55,45,50,60,40,50,70,50,50,580
2019,Yukon,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2019,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
