name,column_name,dtype,required,description
Year,year,integer,TRUE,The year of entry
Provinces/Territories,prov_territory,factor,TRUE,"2 options:
- The province/territory of entry 
- The national total"
January,january,integer,FALSE,Number of asylum claimants who enter in January
February,february,integer,FALSE,Number of asylum claimants who enter in February
March,march,integer,FALSE,Number of asylum claimants who enter in March
April,april,integer,FALSE,Number of asylum claimants who enter in April
May,may,integer,FALSE,Number of asylum claimants who enter in May
June,june,integer,FALSE,Number of asylum claimants who enter in June
July,july,integer,FALSE,Number of asylum claimants who enter in July
August,august,integer,FALSE,Number of asylum claimants who enter in August
September,september,integer,FALSE,Number of asylum claimants who enter in September
October,october,integer,FALSE,Number of asylum claimants who enter in October
November,november,integer,FALSE,Number of asylum claimants who enter in November
December,december,integer,FALSE,Number of asylum claimants who enter in December
Total,total,integer,FALSE,Number of asylum claimants who enter in a year
