,quarter_name,year,number of quarters represented,country,intake,accepted,rejected,abandoned,withdrawn other,total,pending at the end of period
1,2018 September ,2018,7,Colombia,1111,57,28,24,16,125,986
2,2018 September ,2018,7,Eritrea,924,344,12,7,20,383,541
3,2018 September ,2018,7,Haiti,7563,203,1261,171,118,1753,5810
4,2018 September ,2018,7,Nigeria,11251,242,432,127,26,827,10424
5,2018 September ,2018,7,Other Countries,8897,1026,464,93,194,1777,7120
6,2018 September ,2018,7,Pakistan,827,29,38,7,12,86,741
7,2018 September ,2018,7,Sudan,721,161,53,16,14,244,477
8,2018 September ,2018,7,Syria,864,268,13,11,33,325,539
9,2018 September ,2018,7,Total (all countries),34854,3142,2429,487,482,6540,28314
10,2018 September ,2018,7,Turkiye,1274,588,10,9,14,621,653
11,2018 September ,2018,7,United States of America,733,1,112,21,29,163,570
12,2018 September ,2018,7,Yemen,689,223,6,1,6,236,453
13,2018 December ,2018,8,Colombia,1463,92,48,29,20,189,1274
14,2018 December ,2018,8,"Congo, Democratic Republic of the Congo",848,22,13,11,11,57,791
15,2018 December ,2018,8,Eritrea,982,496,14,7,23,540,442
16,2018 December ,2018,8,Haiti,7655,328,1552,199,122,2201,5454
17,2018 December ,2018,8,Nigeria,12153,432,1142,128,33,1735,10418
18,2018 December ,2018,8,Other Countries,10586,1716,648,102,235,2701,7885
19,2018 December ,2018,8,Pakistan,1027,65,66,7,17,155,872
20,2018 December ,2018,8,Sudan,804,208,67,17,22,314,490
21,2018 December ,2018,8,Syria,888,361,26,11,55,453,435
22,2018 December ,2018,8,Total (all countries),38647,4449,3752,541,588,9330,29317
23,2018 December ,2018,8,Turkiye,1406,727,13,9,15,764,642
24,2018 December ,2018,8,United States of America,835,2,163,21,35,221,614
25,2019 March ,2019,9,Colombia,1778,130,78,29,31,268,1510
26,2019 March ,2019,9,"Congo, Democratic Republic of the Congo",1012,43,36,17,15,111,901
27,2019 March ,2019,9,Eritrea,1008,642,21,8,29,700,308
28,2019 March ,2019,9,Haiti,7718,623,2189,225,129,3166,4552
29,2019 March ,2019,9,Nigeria,12771,787,1958,144,50,2939,9832
30,2019 March ,2019,9,Other Countries,11872,2603,890,127,275,3895,7975
31,2019 March ,2019,9,Pakistan,1198,150,92,7,18,267,931
32,2019 March ,2019,9,Sudan,914,315,76,16,25,432,482
33,2019 March ,2019,9,Syria,910,524,48,11,60,643,267
34,2019 March ,2019,9,Total (all countries),41577,6885,5650,618,704,13857,27718
35,2019 March ,2019,9,Turkiye,1498,1065,15,9,18,1107,391
36,2019 March ,2019,9,United States of America,898,3,247,25,54,329,569
37,2019 June ,2019,10,Angola,976,71,39,13,6,129,847
38,2019 June ,2019,10,Colombia,2158,224,107,35,31,397,1761
39,2019 June ,2019,10,"Congo, Democratic Republic of the Congo",1322,64,46,19,20,149,1173
40,2019 June ,2019,10,Eritrea,1050,706,28,8,29,771,379
41,2019 June ,2019,10,Haiti,7798,897,2738,243,141,4020,3778
42,2019 June ,2019,10,Nigeria,13565,1206,3087,157,59,4509,9056
43,2019 June ,2019,10,Other Countries,13531,3997,1161,162,361,5681,7844
44,2019 June ,2019,10,Pakistan,1367,255,134,10,25,424,943
45,2019 June ,2019,10,Sudan,1150,452,82,18,29,581,569
46,2019 June ,2019,10,Total (all countries),45517,9069,7786,707,782,18344,27167
47,2019 June ,2019,10,Turkiye,1600,1192,19,12,18,1241,359
48,2019 June ,2019,10,United States of America,1000,5,345,30,62,442,558
49,2019 September ,2019,11,Angola,1165,93,58,13,6,170,995
50,2019 September ,2019,11,Colombia,2587,312,157,44,41,554,2033
51,2019 September ,2019,11,"Congo, Democratic Republic of the Congo",1687,80,82,27,31,220,1467
52,2019 September ,2019,11,Eritrea,1135,767,35,8,41,851,284
53,2019 September ,2019,11,Haiti,8094,1112,3105,264,142,4623,3471
54,2019 September ,2019,11,Nigeria,14621,1439,3810,163,71,5483,9138
55,2019 September ,2019,11,Other Countries,15494,4639,1426,186,455,6706,8788
56,2019 September ,2019,11,Pakistan,1642,307,185,12,34,538,1104
57,2019 September ,2019,11,Sudan,1389,547,85,18,39,689,700
58,2019 September ,2019,11,Total (all countries),50635,10582,9346,782,952,21662,28973
59,2019 September ,2019,11,Turkiye,1762,1279,20,12,21,1332,430
60,2019 September ,2019,11,United States of America,1059,7,383,35,71,496,563
61,2019 December ,2019,12,Angola,1276,106,83,15,18,222,1054
62,2019 December ,2019,12,Colombia,3040,416,179,51,56,702,2338
63,2019 December ,2019,12,"Congo, Democratic Republic of the Congo",1885,104,104,33,42,283,1602
64,2019 December ,2019,12,Eritrea,1176,810,44,9,48,911,265
65,2019 December ,2019,12,Haiti,8557,1221,3331,273,150,4975,3582
66,2019 December ,2019,12,Nigeria,15376,1781,4447,171,88,6487,8889
67,2019 December ,2019,12,Other Countries,16980,5399,1681,224,564,7868,9112
68,2019 December ,2019,12,Pakistan,1958,368,228,16,38,650,1308
69,2019 December ,2019,12,Sudan,1511,653,88,23,44,808,703
70,2019 December ,2019,12,Total (all countries),54736,12255,10627,865,1144,24891,29845
71,2019 December ,2019,12,Turkiye,1861,1386,20,15,24,1445,416
72,2019 December ,2019,12,United States of America,1116,11,422,35,72,540,576
73,2020 March ,2020,13,Angola,1443,129,109,16,25,279,1164
74,2020 March ,2020,13,Colombia,3352,611,231,51,68,961,2391
75,2020 March ,2020,13,"Congo, Democratic Republic of the Congo",2066,142,137,36,51,366,1700
76,2020 March ,2020,13,Eritrea,1210,850,46,10,67,973,237
77,2020 March ,2020,13,Haiti,9068,1375,3543,292,159,5369,3699
78,2020 March ,2020,13,Nigeria,15894,2274,5074,182,95,7625,8269
79,2020 March ,2020,13,Other Countries,18240,6298,1949,255,656,9158,9082
80,2020 March ,2020,13,Pakistan,2266,439,265,16,56,776,1490
81,2020 March ,2020,13,Sudan,1657,815,92,24,54,985,672
82,2020 March ,2020,13,Total (all countries),58251,14420,11948,938,1338,28644,29607
83,2020 March ,2020,13,Turkiye,1922,1477,25,15,25,1542,380
84,2020 March ,2020,13,United States of America,1133,10,477,41,82,610,523
85,2020 June,2020,14,Angola,1453,136,109,16,25,286,1167
86,2020 June,2020,14,Colombia,3409,648,238,51,72,1009,2400
87,2020 June,2020,14,"Congo, Democratic Republic of the Congo",2074,153,139,36,52,380,1694
88,2020 June,2020,14,Eritrea,1214,861,46,10,63,980,234
89,2020 June,2020,14,Haiti,9138,1394,3549,292,160,5395,3743
90,2020 June,2020,14,Nigeria,15945,2364,5107,182,96,7749,8196
91,2020 June,2020,14,Other Countries,18349,6528,1971,255,649,9403,8946
92,2020 June,2020,14,Pakistan,2287,458,268,16,56,798,1489
93,2020 June,2020,14,Sudan,1669,871,92,24,56,1043,626
94,2020 June,2020,14,Total (all countries),58621,14944,12021,938,1337,29240,29381
95,2020 June,2020,14,Turkiye,1927,1521,25,15,26,1587,340
96,2020 June,2020,14,United States of America,1156,10,477,41,82,610,546
97,2020 September,2020,15,Angola,1455,NA,159,NA,NA,370,1085
98,2020 September,2020,15,Colombia,3410,734,292,51,74,1151,2259
99,2020 September,2020,15,"Congo, Democratic Republic of the Congo",2077,193,196,36,57,482,1595
100,2020 September,2020,15,Eritrea,1218,878,NA,NA,94,1029,189
101,2020 September,2020,15,Haiti,9170,1501,3755,294,165,5715,3455
102,2020 September,2020,15,Nigeria,15991,2594,5626,182,103,8505,7486
103,2020 September,2020,15,Other Countries,18400,6966,2179,259,691,10095,8305
104,2020 September,2020,15,Pakistan,2301,496,312,NA,NA,897,1404
105,2020 September,2020,15,Sudan,1670,914,95,24,64,1097,573
106,2020 September,2020,15,Total (all countries),58786,16028,13202,944,1455,31629,27157
107,2020 September,2020,15,Turkiye,1928,1572,NA,NA,27,1640,288
108,2020 September,2020,15,United States of America,1166,NA,515,NA,82,648,518
109,2021 March,2021,17,Angola,1459,NA,271,NA,NA,573,886
110,2021 March,2021,17,Colombia,3421,1059,363,51,81,1554,1867
111,2021 March,2021,17,"Congo, Democratic Republic of the Congo",2086,284,260,36,62,642,1444
112,2021 March,2021,17,Eritrea,1219,960,NA,NA,104,1124,95
113,2021 March,2021,17,Haiti,9220,1716,4045,315,177,6253,2967
114,2021 March,2021,17,Nigeria,16114,3686,6418,185,181,10470,5644
115,2021 March,2021,17,Other Countries,18527,8895,2576,286,766,12523,6004
116,2021 March,2021,17,Pakistan,2317,771,411,NA,NA,1294,1023
117,2021 March,2021,17,Sudan,1673,1203,108,24,68,1403,270
118,2021 March,2021,17,Total (all countries),59148,20584,15154,1010,1690,38438,20710
119,2021 March,2021,17,Turkiye,1928,1737,NA,NA,NA,1824,104
120,2021 March,2021,17,United States of America,1184,NA,611,NA,97,778,406
121,2021 June,2021,18,Angola,1460,NA,303,NA,NA,659,801
122,2021 June,2021,18,Colombia,3425,1269,420,51,86,1826,1599
123,2021 June,2021,18,"Congo, Democratic Republic of the Congo",2094,362,292,36,76,766,1328
124,2021 June,2021,18,Eritrea,1219,966,NA,NA,104,1132,87
125,2021 June,2021,18,Haiti,9236,1861,4205,319,196,6581,2655
126,2021 June,2021,18,Nigeria,16187,4120,6771,187,451,11529,4658
127,2021 June,2021,18,Other Countries,18613,9696,2775,289,804,13564,5049
128,2021 June,2021,18,Pakistan,2343,918,505,NA,NA,1543,800
129,2021 June,2021,18,Sudan,1673,1304,118,24,69,1515,158
130,2021 June,2021,18,Total (all countries),59384,22591,16152,1021,2065,41829,17555
131,2021 June,2021,18,Turkiye,1941,1769,NA,NA,NA,1856,85
132,2021 June,2021,18,United States of America,1193,NA,670,NA,116,858,335
133,2021 September,2021,19,Angola,1467,366,342,NA,NA,759,708
134,2021 September,2021,19,Colombia,3444,1435,457,51,106,2049,1395
135,2021 September,2021,19,"Congo, Democratic Republic of the Congo",2094,429,342,36,95,902,1192
