year,country,merit,outcome,count
2017,Total,NA,filed,4905
2017,Total,FALSE,nonmerit_dismiss_jurisdiction,414
2017,Total,FALSE,nonmerit_dismiss_imperfect,245
2017,Total,FALSE,nonmerit_dismiss_other,98
2017,Total,TRUE,merit_dismiss_confirm,1625
2017,Total,TRUE,merit_allow_referback,409
2017,Total,TRUE,merit_allow_substitute,346
2017,Total,NA,total_finalized,3137
2017,Total,NA,pending,3710
2017,Afghanistan,NA,filed,33
2017,Afghanistan,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Afghanistan,FALSE,nonmerit_dismiss_imperfect,NA
2017,Afghanistan,FALSE,nonmerit_dismiss_other,NA
2017,Afghanistan,TRUE,merit_dismiss_confirm,21
2017,Afghanistan,TRUE,merit_allow_referback,NA
2017,Afghanistan,TRUE,merit_allow_substitute,NA
2017,Afghanistan,NA,total_finalized,41
2017,Afghanistan,NA,pending,20
2017,Albania,NA,filed,52
2017,Albania,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Albania,FALSE,nonmerit_dismiss_imperfect,NA
2017,Albania,FALSE,nonmerit_dismiss_other,NA
2017,Albania,TRUE,merit_dismiss_confirm,25
2017,Albania,TRUE,merit_allow_referback,NA
2017,Albania,TRUE,merit_allow_substitute,NA
2017,Albania,NA,total_finalized,38
2017,Albania,NA,pending,57
2017,Algeria,NA,filed,30
2017,Algeria,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Algeria,FALSE,nonmerit_dismiss_imperfect,NA
2017,Algeria,FALSE,nonmerit_dismiss_other,NA
2017,Algeria,TRUE,merit_dismiss_confirm,NA
2017,Algeria,TRUE,merit_allow_referback,NA
2017,Algeria,TRUE,merit_allow_substitute,NA
2017,Algeria,NA,total_finalized,NA
2017,Algeria,NA,pending,40
2017,Angola,NA,filed,NA
2017,Angola,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Angola,FALSE,nonmerit_dismiss_imperfect,NA
2017,Angola,FALSE,nonmerit_dismiss_other,NA
2017,Angola,TRUE,merit_dismiss_confirm,NA
2017,Angola,TRUE,merit_allow_referback,NA
2017,Angola,TRUE,merit_allow_substitute,NA
2017,Angola,NA,total_finalized,NA
2017,Angola,NA,pending,NA
2017,Antigua and Barbuda,NA,filed,NA
2017,Antigua and Barbuda,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Antigua and Barbuda,FALSE,nonmerit_dismiss_imperfect,NA
2017,Antigua and Barbuda,FALSE,nonmerit_dismiss_other,NA
