year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2017,Newfoundland and Labrador,0,0,0,0,5,0,NA,0,0,0,NA,0,5
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,0,0,0,0,5,0,0,0,NA,0,0,0,5
2017,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Quebec,40,55,50,40,75,75,85,105,125,115,100,235,1100
2017,Ontario,215,185,145,165,180,135,180,150,240,265,195,390,2460
2017,Manitoba,0,0,0,0,0,0,0,0,0,0,NA,0,NA
2017,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Alberta,5,NA,NA,15,NA,NA,10,NA,10,5,NA,20,80
2017,British Columbia,25,10,20,15,15,25,20,15,20,25,15,15,210
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
2017,Total - Air Ports of Entry,285,255,220,235,285,240,295,270,400,405,320,660,3870
2018,Newfoundland and Labrador,0,0,0,0,0,NA,0,0,NA,0,0,0,5
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,0,0,NA,0,0,0,0,NA,NA,NA,0,0,10
2018,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Quebec,140,180,245,175,245,245,205,230,325,260,320,340,2910
2018,Ontario,370,255,215,350,395,280,280,305,350,295,340,355,3785
2018,Manitoba,0,0,0,0,0,0,0,0,NA,0,0,0,NA
2018,Saskatchewan,NA,0,0,0,0,0,0,0,0,0,0,0,NA
2018,Alberta,NA,NA,5,5,5,10,NA,NA,10,15,10,5,80
2018,British Columbia,10,10,5,5,10,5,10,10,15,15,20,20,135
2018,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - Air Ports of Entry,530,445,475,540,660,545,495,550,705,585,690,720,6935
2019,Newfoundland and Labrador,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,0,0,0,0,0,NA,0,NA,NA,0,0,0,5
2019,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Quebec,245,220,230,225,325,325,385,390,450,390,325,295,3795
2019,Ontario,225,245,350,265,255,260,250,285,435,400,450,425,3845
2019,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Alberta,10,NA,0,15,NA,25,5,15,25,10,15,10,135
2019,British Columbia,15,20,25,45,25,20,35,20,25,40,30,35,335
2019,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
