Year,Provinces/Territories,January,February,March,April,May,June,July,August,September,October,November,December,Total
2017,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,New Brunswick,NA,0,0,0,0,0,0,0,0,0,0,0,NA
2017,Quebec,20,25,30,80,70,105,1250,915,395,785,720,745,5140
2017,Ontario,10,15,15,15,5,10,30,15,10,25,20,15,180
2017,Manitoba,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,5
2017,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Alberta,0,0,0,0,0,NA,NA,0,0,NA,0,NA,5
2017,British Columbia,45,80,80,55,80,50,90,155,105,100,50,15,905
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Total - Inland Offices,75,115,120,150,160,170,1370,1090,515,915,790,775,6240
2018,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,NA,0,0,0,0,0,0,0,0,0,0,0,NA
2018,New Brunswick,0,0,0,0,0,0,NA,0,0,0,NA,0,NA
2018,Quebec,410,445,165,20,10,5,10,10,10,25,15,15,1140
2018,Ontario,10,15,10,5,15,10,10,20,5,15,15,15,150
2018,Manitoba,NA,NA,0,0,0,0,0,0,NA,NA,0,0,NA
2018,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Alberta,0,0,0,0,0,0,0,0,NA,0,0,0,NA
2018,British Columbia,10,30,40,35,70,65,35,45,65,50,45,30,525
2018,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - Inland Offices,435,490,215,65,95,80,60,80,80,90,75,60,1825
2019,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Quebec,10,15,15,20,25,10,20,10,10,20,15,20,195
2019,Ontario,30,10,20,15,15,20,10,15,25,20,15,20,225
2019,Manitoba,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2019,Saskatchewan,0,0,0,0,0,0,0,0,NA,0,0,0,NA
2019,Alberta,0,0,0,NA,0,0,0,NA,0,NA,0,0,5
2019,British Columbia,30,30,35,35,25,10,30,25,25,15,25,25,310
2019,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Total - Inland Offices,65,60,70,75,65,45,60,55,65,60,55,65,735
2020,Newfoundland and Labrador,0,0,0,0,0,0,NA,NA,0,0,0,0,NA
2020,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nova Scotia,0,0,NA,0,0,0,0,0,0,0,0,0,NA
2020,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Quebec,20,15,10,NA,5,5,5,5,NA,NA,NA,10,90
2020,Ontario,25,15,20,NA,NA,NA,5,5,10,NA,NA,5,100
2020,Manitoba,0,0,NA,0,0,0,0,0,0,0,0,0,NA
2020,Saskatchewan,NA,0,0,0,0,0,0,0,0,0,0,0,NA
2020,Alberta,0,0,0,0,0,0,0,NA,0,0,0,0,NA
2020,British Columbia,15,20,30,NA,0,15,10,15,15,10,15,10,155
2020,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Total - Inland Offices,60,50,65,5,10,20,25,30,25,15,20,25,355
2021,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,New Brunswick,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2021,Quebec,5,NA,NA,NA,5,5,NA,0,5,5,5,5,45
2021,Ontario,5,15,10,15,5,10,15,NA,10,10,10,15,125
2021,Manitoba,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2021,Saskatchewan,0,0,0,0,0,0,0,0,NA,0,0,0,NA
