year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2017,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,New Brunswick,NA,0,5,15,0,NA,NA,0,0,NA,0,NA,25
2017,Quebec,445,600,785,505,265,270,285,290,200,265,245,280,4445
2017,Ontario,430,450,555,515,500,450,440,575,490,425,315,330,5475
2017,Manitoba,20,150,180,165,125,70,95,85,75,75,40,20,1100
2017,Saskatchewan,0,0,NA,10,NA,NA,0,0,0,NA,5,0,20
2017,Alberta,15,25,25,10,10,25,20,25,35,10,10,10,215
2017,British Columbia,10,20,35,35,20,5,30,40,50,20,30,35,345
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Total - Land Ports of Entry,925,1245,1595,1255,920,825,875,1015,855,800,645,675,11630
2018,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,New Brunswick,0,0,NA,0,0,0,NA,NA,NA,0,NA,0,10
2018,Quebec,210,185,1615,2505,1860,1220,1620,1740,1530,1385,1070,1280,16220
2018,Ontario,290,225,250,225,215,310,335,385,375,320,235,235,3405
2018,Manitoba,15,30,55,50,40,35,55,40,45,25,20,20,435
2018,Saskatchewan,NA,0,0,0,0,0,0,0,0,NA,0,0,NA
2018,Alberta,15,25,25,15,20,20,40,35,20,30,20,15,275
2018,British Columbia,50,25,35,25,15,15,25,20,35,15,15,30,305
2018,Yukon,0,0,0,0,0,0,0,NA,0,0,0,0,NA
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - Land Ports of Entry,580,490,1980,2820,2150,1600,2075,2225,2010,1785,1360,1575,20655
2019,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2019,New Brunswick,NA,0,NA,0,0,0,NA,0,0,NA,0,0,5
2019,Quebec,900,825,995,1220,1200,1565,1920,1780,1745,1670,1165,1675,16660
2019,Ontario,220,205,210,225,305,260,340,305,325,285,245,230,3155
2019,Manitoba,NA,5,15,20,30,35,30,30,25,20,15,NA,230
2019,Saskatchewan,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,5
2019,Alberta,20,NA,10,10,15,NA,40,30,15,20,10,10,180
2019,British Columbia,15,10,35,10,15,25,25,20,25,30,15,15,240
2019,Yukon,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2019,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Total - Land Ports of Entry,1160,1045,1270,1485,1565,1895,2355,2160,2130,2030,1450,1935,20485
2020,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,New Brunswick,NA,0,NA,0,0,0,NA,0,0,NA,0,0,5
2020,Quebec,1125,1010,965,15,135,80,115,120,100,135,95,170,4065
2020,Ontario,195,175,140,15,40,55,80,100,125,140,125,135,1325
2020,Manitoba,5,NA,5,0,NA,NA,NA,NA,NA,0,NA,NA,30
2020,Saskatchewan,0,0,NA,0,0,0,NA,0,NA,0,0,0,NA
2020,Alberta,NA,10,20,0,NA,0,10,NA,5,10,5,15,90
2020,British Columbia,15,20,5,NA,NA,5,20,15,15,25,10,10,145
2020,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Total - Land Ports of Entry,1345,1215,1140,35,180,145,230,240,250,315,240,330,5660
2021,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,New Brunswick,NA,0,0,0,NA,0,NA,0,5,0,NA,NA,15
2021,Quebec,95,100,65,95,100,110,140,295,370,395,1000,2880,5645
2021,Ontario,135,115,95,110,120,135,195,285,510,375,340,440,2850
2021,Manitoba,0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,30
2021,Saskatchewan,0,NA,0,NA,0,NA,NA,0,0,NA,0,0,5
2021,Alberta,NA,10,25,5,NA,10,25,10,15,25,40,5,180
2021,British Columbia,10,10,5,15,10,15,10,30,25,20,15,35,205
2021,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Total - Land Ports of Entry,250,235,190,230,240,275,375,620,935,820,1395,3365,8930
2022,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,New Brunswick,0,0,NA,NA,0,NA,0,NA,NA,0,0,5,15
2022,Quebec,2355,2250,2515,2765,3615,3125,3720,3335,3730,3965,3755,4780,39910
2022,Ontario,275,280,380,455,505,520,425,470,510,465,425,520,5235
2022,Manitoba,0,0,NA,NA,NA,NA,5,10,10,20,25,5,90
2022,Saskatchewan,0,0,0,NA,0,0,NA,0,0,0,0,0,5
2022,Alberta,15,5,15,25,40,30,60,30,25,30,55,55,385
2022,British Columbia,20,35,35,25,25,15,35,50,50,30,45,65,425
2022,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Total - Land Ports of Entry,2665,2570,2945,3280,4185,3695,4255,3900,4330,4510,4305,5430,46065
2023,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nova Scotia,0,0,0,0,0,0,0,0,NA,NA,0,0,NA
2023,New Brunswick,0,0,NA,NA,0,NA,0,10,NA,NA,5,NA,30
2023,Quebec,4965,4540,4335,615,615,555,650,695,1015,830,705,1030,20550
2023,Ontario,470,365,585,885,945,560,665,545,700,595,610,740,7670
2023,Manitoba,20,10,25,10,NA,NA,10,NA,NA,10,NA,10,100
2023,Saskatchewan,0,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,10
2023,Alberta,10,25,60,40,45,20,40,25,60,55,40,35,460
2023,British Columbia,40,45,35,40,40,50,40,35,50,55,70,130,635
2023,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Total - Land Ports of Entry,5510,4980,5045,1595,1650,1195,1405,1315,1830,1550,1440,1945,29455
