Year,Provinces/Territories,January,February,March,April,May,June,July,August,September,October,November,December,Total
2017,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,0,0,0,NA,0,0,0,NA,0,0,0,0,5
2017,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Quebec,0,0,0,5,0,0,NA,0,NA,0,NA,NA,15
2017,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,British Columbia,NA,0,0,0,0,0,0,0,0,0,0,0,NA
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Total - Marine Ports of Entry,NA,0,0,5,0,0,NA,NA,NA,0,NA,NA,25
2018,Newfoundland and Labrador,0,0,0,0,0,0,0,NA,0,0,0,0,NA
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,15
2018,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Quebec,NA,0,0,0,NA,NA,0,0,0,0,0,0,5
2018,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,British Columbia,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2018,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - Marine Ports of Entry,NA,0,NA,0,5,NA,NA,NA,NA,NA,NA,NA,25
2019,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,NA,0,0,NA
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Quebec,0,0,0,0,NA,NA,5,NA,NA,NA,0,NA,20
2019,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,British Columbia,0,NA,0,NA,0,NA,NA,0,0,0,NA,0,5
2019,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Total - Marine Ports of Entry,0,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,25
2020,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nova Scotia,0,0,0,0,NA,NA,0,0,0,0,0,NA,5
2020,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Quebec,0,0,0,0,0,NA,NA,0,0,0,0,0,NA
2020,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,British Columbia,0,0,0,NA,0,0,0,0,NA,0,0,0,5
2020,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Total - Marine Ports of Entry,0,0,0,NA,NA,5,NA,0,NA,0,0,NA,15
2021,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nova Scotia,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Quebec,NA,0,NA,NA,0,0,NA,0,0,0,NA,NA,15
2021,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,British Columbia,0,0,0,0,5,0,0,NA,0,0,0,0,5
2021,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Total - Marine Ports of Entry,NA,0,NA,NA,5,0,NA,NA,0,0,NA,NA,20
2022,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nova Scotia,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
2022,New Brunswick,0,0,0,0,0,NA,0,0,0,0,0,0,NA
2022,Quebec,NA,0,NA,NA,0,0,0,0,NA,10,NA,0,20
2022,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,British Columbia,0,0,NA,0,0,0,0,0,NA,0,0,0,NA
2022,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Total - Marine Ports of Entry,NA,0,NA,NA,0,NA,0,0,NA,10,NA,NA,25
2023,Newfoundland and Labrador,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nova Scotia,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,0,10
2023,New Brunswick,0,10,NA,0,NA,0,0,0,NA,0,0,0,15
2023,Quebec,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,10
2023,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Saskatchewan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Alberta,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,British Columbia,0,0,0,0,NA,0,0,0,0,NA,0,0,NA
2023,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Total - Marine Ports of Entry,NA,10,NA,NA,5,NA,NA,NA,5,NA,NA,NA,35
