year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2017,Newfoundland and Labrador,0,NA,0,0,5,0,NA,NA,NA,NA,NA,0,15
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,NA,NA,0,5,10,5,5,10,5,NA,10,10,65
2017,New Brunswick,NA,0,5,20,0,NA,5,NA,0,NA,NA,5,50
2017,Quebec,775,945,1330,1130,1055,1315,3165,6030,2440,2545,2185,2590,25510
2017,Ontario,1545,1555,1590,1475,1650,1560,1495,2140,1745,1705,1630,1480,19575
2017,Manitoba,35,160,200,185,140,90,105,115,85,110,65,40,1330
2017,Saskatchewan,NA,NA,10,10,10,10,5,10,5,5,5,NA,80
2017,Alberta,130,80,100,85,85,120,105,160,150,145,105,120,1385
2017,British Columbia,130,155,190,160,175,170,220,335,285,240,185,130,2370
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,NA,0,NA,0,NA
2017,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Total - CBSA & IRCC,2625,2900,3430,3070,3130,3270,5115,8795,4715,4755,4185,4375,50375
2018,Newfoundland and Labrador,5,NA,NA,0,NA,NA,10,NA,NA,NA,5,0,35
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,NA,NA,5,NA,5,NA,NA,15,10,15,5,5,75
2018,New Brunswick,NA,NA,5,5,NA,NA,5,5,5,5,NA,NA,45
2018,Quebec,2085,2120,2560,3220,2545,1945,2425,2590,2535,2635,2260,2225,29140
2018,Ontario,1605,1440,1295,1245,1645,1505,1555,1950,2170,2435,2505,1815,21165
2018,Manitoba,40,50,65,60,45,50,65,60,60,40,40,35,615
2018,Saskatchewan,10,5,NA,5,5,NA,5,NA,5,10,NA,NA,65
2018,Alberta,110,110,95,115,95,95,150,155,145,190,140,145,1545
2018,British Columbia,140,170,170,160,185,175,185,205,240,270,250,205,2345
2018,Yukon,0,0,0,0,0,0,0,NA,0,0,0,0,NA
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - CBSA & IRCC,4000,3905,4200,4810,4530,3775,4400,4980,5170,5610,5215,4430,55035
2019,Newfoundland and Labrador,NA,NA,NA,NA,NA,5,0,NA,0,NA,NA,0,20
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,10,10,5,5,NA,5,NA,10,NA,10,25,NA,90
2019,New Brunswick,10,NA,NA,NA,NA,0,NA,NA,5,NA,5,NA,45
2019,Quebec,1895,1810,1905,2125,2270,2640,3370,3115,3140,3130,2505,3355,31260
2019,Ontario,2125,2035,1910,1740,1945,1720,2470,2550,2750,2675,2290,2200,26405
2019,Manitoba,10,30,20,25,55,45,55,55,40,35,25,15,410
2019,Saskatchewan,15,5,5,NA,NA,5,5,10,15,5,10,15,100
2019,Alberta,130,115,105,135,135,140,250,160,185,180,145,170,1850
2019,British Columbia,235,235,270,280,255,275,480,390,365,410,355,300,3850
