Year,Provinces/Territories,January,February,March,April,May,June,July,August,September,October,November,December,Total
2017,Newfoundland and Labrador,0,NA,0,0,0,0,0,NA,NA,0,0,0,5
2017,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nova Scotia,NA,NA,0,NA,NA,5,5,NA,NA,NA,10,10,50
2017,New Brunswick,NA,0,NA,5,0,0,5,NA,0,0,NA,NA,20
2017,Quebec,270,260,460,500,650,865,1540,4715,1715,1380,1115,1335,14805
2017,Ontario,890,910,875,780,960,965,845,1400,1000,990,1100,740,11460
2017,Manitoba,15,10,20,20,20,15,10,30,10,35,20,15,220
2017,Saskatchewan,NA,NA,10,0,10,10,5,10,5,NA,0,NA,60
2017,Alberta,110,55,75,60,75,90,75,135,100,130,90,90,1080
2017,British Columbia,55,40,55,55,55,90,80,125,105,95,90,65,910
2017,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Total - IRCC,1345,1285,1495,1425,1770,2040,2570,6420,2945,2640,2425,2260,28610
2018,Newfoundland and Labrador,5,NA,NA,0,NA,0,10,NA,0,NA,5,0,30
2018,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nova Scotia,NA,NA,NA,NA,5,NA,NA,5,5,10,NA,5,50
2018,New Brunswick,NA,NA,5,5,NA,NA,NA,NA,NA,5,NA,NA,35
2018,Quebec,1325,1315,535,515,425,475,585,610,670,970,855,590,8865
2018,Ontario,930,950,815,665,1015,910,930,1235,1440,1800,1915,1210,13825
2018,Manitoba,20,20,15,10,5,10,10,20,15,15,20,15,180
2018,Saskatchewan,5,5,NA,5,5,NA,5,NA,5,10,NA,NA,55
2018,Alberta,95,80,65,90,70,65,105,115,110,150,110,125,1190
2018,British Columbia,70,105,90,90,85,85,115,130,125,190,170,125,1375
2018,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Total - IRCC,2455,2485,1530,1390,1620,1550,1770,2120,2370,3155,3085,2070,25605
2019,Newfoundland and Labrador,NA,NA,NA,NA,0,5,0,NA,0,0,NA,0,15
2019,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Nova Scotia,10,10,5,5,NA,NA,NA,5,0,10,25,NA,80
2019,New Brunswick,10,NA,NA,NA,NA,0,NA,NA,5,NA,5,NA,35
2019,Quebec,745,755,670,660,715,735,1035,935,930,1050,1000,1360,10590
2019,Ontario,1645,1575,1330,1235,1370,1180,1870,1945,1965,1970,1580,1520,19180
2019,Manitoba,10,25,NA,10,20,10,25,30,20,15,10,10,180
