name,column_name,dtype,required,description
Year,year,integer,TRUE,The year of entry
Provinces/Territories,prov_territory,factor,TRUE,"2 options:
- The province/territory of entry 
- The national total"
January,january,integer,FALSE,Number of asylum claimants who enters in January
February,february,integer,FALSE,Number of asylum claimants who enters in February
March,march,integer,FALSE,Number of asylum claimants who enters in March
April,april,integer,FALSE,Number of asylum claimants who enters in April
May,may,integer,FALSE,Number of asylum claimants who enters in May
June,june,integer,FALSE,Number of asylum claimants who enters in June
July,july,integer,FALSE,Number of asylum claimants who enters in July
August,august,integer,FALSE,Number of asylum claimants who enters in August
September,september,integer,FALSE,Number of asylum claimants who enters in September
October,october,integer,FALSE,Number of asylum claimants who enters in October
November,november,integer,FALSE,Number of asylum claimants who enters in November
December,december,integer,FALSE,Number of asylum claimants who enters in December
Total,total,integer,FALSE,Number of asylum claimants who enters in a year
