country,merit,outcome,2017,2018,2019,2020,2021,2022,2023
Total,NA,filed,4905,7256,11817,6894,10055,11186,7965
Total,FALSE,nonmerit_dismiss_jurisdiction,414,608,577,189,251,289,183
Total,FALSE,nonmerit_dismiss_imperfect,245,272,266,292,382,747,384
Total,FALSE,nonmerit_dismiss_other,98,159,214,168,613,367,219
Total,TRUE,merit_dismiss_confirm,1625,2445,5746,6151,7160,6363,5968
Total,TRUE,merit_allow_referback,409,421,707,792,1042,835,927
Total,TRUE,merit_allow_substitute,346,506,1174,1963,2820,2464,2449
Total,NA,total_finalized,3137,4412,8684,9555,12268,11065,10130
Total,NA,pending,3710,6561,9700,7071,4891,5005,2888
Afghanistan,NA,filed,33,51,41,22,NA,23,21
Afghanistan,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Afghanistan,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Afghanistan,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Afghanistan,TRUE,merit_dismiss_confirm,21,NA,NA,26,NA,NA,NA
Afghanistan,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Afghanistan,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,total_finalized,41,31,35,44,35,24,NA
Afghanistan,NA,pending,20,40,46,24,NA,NA,NA
Albania,NA,filed,52,49,37,38,49,37,NA
Albania,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Albania,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Albania,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Albania,TRUE,merit_dismiss_confirm,25,30,21,NA,26,38,NA
Albania,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Albania,TRUE,merit_allow_substitute,NA,NA,NA,NA,23,NA,NA
Albania,NA,total_finalized,38,63,37,45,61,52,21
Albania,NA,pending,57,43,43,40,28,NA,NA
Algeria,NA,filed,30,NA,55,80,140,101,60
Algeria,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Algeria,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Algeria,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
