fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN01,Trade and Market Expansion,53105701,52360723.82,53014508,53014508,171,183,171,171,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN02,Sector Engagement and Development,33331249,34247456.65,30455570,30455570,179,184,179,179,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN03,Farm Products Council of Canada,3048578,2520779.52,3048552,3048552,23,17,23,23,,"Actual spending was lower than planned spending mainly due to temporary vacant positions within the organization in 2018–19.

Actual full-time equivalents were lower than planned due to temporary vacant positions within the organization in 2018–19."
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN04,Dairy Programs,94238832,99881679.91,83258832,78288832,36,46,37,37,,Actual full-time equivalents were higher than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program.
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN05,Canadian Pari-Mutuel Agency,0,-317141.62,-216000,-53000,31,31,31,31,,"The Canadian Pari-Mutuel Agency is not funded through an appropriation of public funds but rather through a levy on all money bet in Canada on horse racing. Therefore, the revenue and actual spending each year will vary."
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN06,Water Infrastructure,3396591,38523974.13,3331601,3331601,34,36,34,34,,Actual spending was more than planned spending primarily due to the transfer of federal canal infrastructure to the Government of Saskatchewan.
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN07,"Federal, Provincial and Territorial Cost-shared Markets and Trade",63061340,55780799.28,63061340,63061340,6,5,6,6,,"While provincial and territorial spending in the first year of the Partnership was lower than the planned spending, the majority of programs have been rolled out and continue to come online. Program uptake has varied across programs resulting in underspending in some areas and overspending in others. However, the federal-provincial-territorial funding allocations were respected.

Actual full-time equivalents were lower than planned reflecting a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load and demand for the program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN08,Community Pastures,0,-2313624.59,0,0,13,15,0,0,,"The Community Pastures program is funded through Vote-Netted Revenue. 

Actual full-time equivalents were higher than planned primarily to complete the work required for the winding down of the Community Pastures program."
FY 2018-19,1,Department of Agriculture and Agri-Food,Science and Innovation,BWO01,Foundational Science and Research,342344234,363968493.6,317108329,316853610,2370,2404,2370,2370,,
FY 2018-19,1,Department of Agriculture and Agri-Food,Science and Innovation,BWO02,AgriScience,86237926,62551943.75,85740482,85740482,186,175,186,186,,Actual spending was less that planned spending as this was the first year of the Canadian Agricultural Partnership reflecting a ramping up of the program.
