dataset;title;filename;url
Asylum Claims and Interceptions;Asylum claims by year – 2023;Asylum claims by year – 2023 - Canada.ca.htm;https://web.archive.org/web/20240522143050/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2023.html
Asylum Claims and Interceptions;Asylum claims by year – 2022;Asylum claims by year – 2022 - Canada.ca.htm;https://web.archive.org/web/20240522143410/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2022.html
Asylum Claims and Interceptions;Asylum claims by year – 2021;Asylum claims by year – 2021 - Canada.ca.htm;https://web.archive.org/web/20240522143710/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2021.html
Asylum Claims and Interceptions;Asylum claims by year – 2020;Asylum claims by year – 2020 - Canada.ca.htm;https://web.archive.org/web/20240522143832/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2020.html
Asylum Claims and Interceptions;Asylum claims by year – 2019;Asylum claims by year – 2019 - Canada.ca.htm;https://web.archive.org/web/20240522143842/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2019.html
Asylum Claims and Interceptions;Asylum claims by year – 2018;Asylum claims by year – 2018 - Canada.ca.htm;https://web.archive.org/web/20240522143842/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2018.html
Asylum Claims and Interceptions;Asylum claims by year – 2017;Asylum claims by year – 2017 - Canada.ca.htm;https://web.archive.org/web/20240522144008/https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/asylum-claims/asylum-claims-2017.html
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2023;Refugee Appeals by Country of Alleged Persecution - 2023 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522150106/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2023.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2022;Refugee Appeals by Country of Alleged Persecution - 2022 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522145949/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2022.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2021;Refugee Appeals by Country of Alleged Persecution - 2021 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522150030/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2021.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2020;Refugee Appeals by Country of Alleged Persecution - 2020 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522145918/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2020.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2019;Refugee Appeals by Country of Alleged Persecution - 2019 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522145650/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2019.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2018;Refugee Appeals by Country of Alleged Persecution - 2018 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522145912/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2018.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2017;Refugee Appeals by Country of Alleged Persecution - 2017 - Immigration and Refugee Board of Canada.htm;https://web.archive.org/web/20240522145909/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2017.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2016;;https://web.archive.org/web/20240522145905/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2016.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2015;;https://web.archive.org/web/20240522145902/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2015.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2014;;https://web.archive.org/web/20240522145858/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2014.aspx
Refugee Appeals by Country of Alleged Persecution ;Appeals by country by year - 2013;;https://web.archive.org/web/20240522145752/https://www.irb-cisr.gc.ca/en/statistics/appeals/Pages/RADStat2013.aspx
